Date Finished,Name,Distance
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.0~t1=INIT~t2=MNIST32, 0.2500
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.0~t1=INIT~t2=MNIST32-v2, 0.2546
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.0~t1=INIT~t2=MNIST32-v3, 0.2546
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.0~t1=MNIST32~t2=MNIST32-v2, 0.0845
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.0~t1=MNIST32~t2=MNIST32-v3, 0.1667
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.0~t1=MNIST32-v2~t2=MNIST32-v3, 0.1481
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.2~t1=INIT~t2=MNIST32, 0.1546
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.2~t1=INIT~t2=MNIST32-v2, 0.1592
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.2~t1=INIT~t2=MNIST32-v3, 0.1500
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.2~t1=MNIST32~t2=MNIST32-v2, 0.1056
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.2~t1=MNIST32~t2=MNIST32-v3, 0.1406
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.2~t1=MNIST32-v2~t2=MNIST32-v3, 0.1419
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.5~t1=INIT~t2=MNIST32, 0.1303
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.5~t1=INIT~t2=MNIST32-v2, 0.1339
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.5~t1=INIT~t2=MNIST32-v3, 0.1276
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.5~t1=MNIST32~t2=MNIST32-v2, 0.1336
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.5~t1=MNIST32~t2=MNIST32-v3, 0.1456
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.5~t1=MNIST32-v2~t2=MNIST32-v3, 0.1508
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.7~t1=INIT~t2=MNIST32, 0.1669
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.7~t1=INIT~t2=MNIST32-v2, 0.1686
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.7~t1=INIT~t2=MNIST32-v3, 0.1616
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.7~t1=MNIST32~t2=MNIST32-v2, 0.1804
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.7~t1=MNIST32~t2=MNIST32-v3, 0.1911
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.convs.7~t1=MNIST32-v2~t2=MNIST32-v3, 0.1924
02-19-20_20:14:05, id=hd~rep=MNIST32~try=0~layer=module.linear.0~t1=INIT~t2=MNIST32, 0.1110
